pid,sid,url,deeplink,modified
psd5,seVwg,https://www.data.gov.cy,https://www.data.gov.cy/api/3/action/group_list,2023-12-22
pJO2,sWpkw,https://data.gov.cz,https://data.gov.cz/api/v1/solr/info,2023-09-21
pNjH,s3t18,https://datos.gob.es,https://datos.gob.es/en/catalogo,2023-09-19
p000,sYyj9,https://data.europa.eu,https://data.europa.eu/api/hub/search/,2024-04-17
pNlz,svqVB,https://www.avoindata.fi/data/fi,https://www.avoindata.fi/data/fi/api/3/action/organization_list,2023-12-22
pwQv,sElCD,https://www.data.gouv.fr/api/1/activity,https://www.data.gouv.fr/api/1/activity,2023-09-19
pFzk,svqE0,https://ckan.publishing.service.gov.uk,https://ckan.publishing.service.gov.uk/api/3/action/organization_list,2023-09-19
pxEA,sec31,https://repository.data.gov.gr,https://repository.data.gov.gr/api/3/action/organization_list,2023-09-19
pSU6,s19wW,https://data.gov.hr/ckan,https://data.gov.hr/ckan/api/3/action/organization_list,2023-12-22
pHbA,suWbo,https://data.gov.ie,https://data.gov.ie/api/3/action/organization_list,2023-09-19
pwyt,sydV9,https://opingogn.is,https://opingogn.is/api/3/action/organization_list,2024-01-03
pjP8,s3fCK,https://dati.gov.it/opendata,https://dati.gov.it/opendata/api/3/action/organization_list,2023-09-19
p1if,shJie,https://data.public.lu/api/1/organizations/,https://data.public.lu/api/1/organizations/,2023-12-22
p6VB,sJ8wI,https://data.gov.lv/dati/lv,https://data.gov.lv/dati/lv/api/3/action/organization_list,2023-12-22
pJmr,sG2Ta,https://dataset.gov.md,https://dataset.gov.md/api/3/action/organization_list,2024-04-15
pFuv,sZ3oq,https://data.overheid.nl/data,https://data.overheid.nl/data/api/3/action/organization_list,2023-09-19
poX8,sHeqh,https://api.dane.gov.pl/institutions,https://api.dane.gov.pl/institutions,2023-12-22
p1tT,sw7it,https://admin.dataportal.se,https://admin.dataportal.se/store/,2023-09-19
poLl,sW9pC,https://data.gov.ua,https://data.gov.ua/api/3/action/organization_list,2023-09-19
pQeY,smZ1A,https://ckan.govdata.de,https://ckan.govdata.de/api/3/action/organization_list,2023-04-18
pBwZ,sQt03,https://geoportal.de,https://geoportal.de,2023-04-18
pPaA,sXbdR,https://www.data.gv.at/katalog,https://www.data.gv.at/katalog/api/3/action/organization_list,2023-11-10
pQd8,shkup,https://www.opendataportal.at/katalog,https://www.opendataportal.at/katalog/api/3/action/organization_list,2023-11-10
ptfz,skcG3,https://ckan.opendata.swiss,https://ckan.opendata.swiss/api/3/action/organization_list,2023-06-16
pM2C,sm96K,https://data.stadt-zuerich.ch,https://data.stadt-zuerich.ch/api/3/action/organization_list,2023-07-13
pQLS,sEFNM,https://data.bl.ch,https://data.bl.ch/api/explore/v2.1/catalog/facets,2023-07-13
pKZE,sbAF3,https://data.bs.ch,https://data.bs.ch/api/explore/v2.1/catalog/facets,2023-08-27
p1Y3,sUDox,https://data.tg.ch,https://data.tg.ch/api/explore/v2.1/catalog/facets,2023-08-27
p6XZ,s3JHT,https://offenedaten.aachen.de,https://offenedaten.aachen.de/api/3/action/organization_list,2023-08-11
pjqy,sj2oD,https://www.auswaertiges-amt.de/de/open-data-schnittstelle/736118,https://www.auswaertiges-amt.de/de/open-data-schnittstelle/736118,2024-01-02
pZ1b,sTcy4,https://www.daten-bw.de/ckan,https://www.daten-bw.de/ckan/api/3/action/organization_list,2023-08-09
pKyv,s8uGo,https://opendata.bayern,https://opendata.bayern/api/hub/search/catalogues,2023-05-25
paIS,sjviZ,https://datenregister.berlin.de,https://datenregister.berlin.de/api/3/action/organization_list,2023-02-06
pANW,smHjx,https://open-data.bielefeld.de,https://open-data.bielefeld.de/api/3/action/group_list,2023-12-03
pFQO,sBdZS,https://opendata.bonn.de,https://opendata.bonn.de/api/3/action/group_list,2023-12-03
pByh,s3hgJ,https://datenadler.de,https://datenadler.de/publisher,2023-02-05
pYFt,s7l5m,https://opendata.braunschweig.de,https://opendata.braunschweig.de/api/3/action/group_list,2024-03-18
p4Oq,syJmN,https://www.transparenz.bremen.de/sixcms/detail.php?gsid=kogis_tp_berlin01.c.85852.de&_article_id=1467&fulltext=,https://www.transparenz.bremen.de/sixcms/detail.php?gsid=kogis_tp_berlin01.c.85852.de&_article_id=1467&fulltext=,2023-02-15
pIi6,sWqnO,https://www.bundesfinanzministerium.de/Datenportal/start.html,https://www.bundesfinanzministerium.de/Datenportal/start.html,2024-01-02
pORF,sIveB,https://www.datenportal.bmbf.de/portal/de/index.html,https://www.datenportal.bmbf.de/portal/de/index.html,2024-01-02
pLkH,sW80d,https://mobilithek.info,https://mobilithek.info/mobilithek/api/v1.0/export/datasets/mobilithek,2024-04-14
pPYg,sW80d,https://www.mcloud.de,https://www.mcloud.de/web/guest/suche/,2023-02-13
pcmW,sREyS,https://open-data.ble.de/api/action/organization_list,https://open-data.ble.de/api/action/organization_list,2024-01-02
pTmU,s2MHv,https://www.daten.bmfsfj.de/,https://www.daten.bmfsfj.de/,2024-01-02
p72K,sGQcC,https://data-lra-cha.opendata.arcgis.com,https://data-lra-cha.opendata.arcgis.com/,2023-07-15
pykR,s8QkD,https://portal-chemnitz.opendata.arcgis.com,https://portal-chemnitz.opendata.arcgis.com/,2023-12-16
purc,s3Dnu,https://data.dnb.de/opendata/,https://data.dnb.de/opendata/,2024-01-02
pEdn,sbfU5,https://opendata.dwd.de/,https://opendata.dwd.de/,2023-11-04
p6KZ,sufaX,https://daten.diepholz.de/datensaetze,https://daten.diepholz.de/datensaetze,2023-11-04
pJPh,sbvTL,https://dormagen.opendatasoft.com,https://dormagen.opendatasoft.com/api/explore/v2.1/catalog/facets,2023-09-09
pKWa,sxjZt,https://open-data.dortmund.de,https://open-data.dortmund.de/api/explore/v2.1/catalog/facets,2024-03-18
p96T,s6PY1,https://opendata.dresden.de/duva2dcat/,https://opendata.dresden.de/duva2dcat/,2023-12-16
pTqe,sbDWe,https://opendata-duisburg.de,https://opendata-duisburg.de/api/3/action/group_list,2023-12-03
pjYb,sBK7u,https://opendata.duesseldorf.de,https://opendata.duesseldorf.de/api/3/action/group_list,2023-12-03
pdGD,sxYAM,https://opendata-esridech.hub.arcgis.com,https://opendata-esridech.hub.arcgis.com/,2023-11-10
plBA,syLhj,https://opendata.essen.de,https://opendata.essen.de/api/3/action/group_list,2023-08-19
pi36,s4Urw,https://offenedaten.frankfurt.de,https://offenedaten.frankfurt.de/api/3/action/organization_list,2023-12-15
pYVD,sJBi0,https://fritz.freiburg.de/duva2dcat/,https://fritz.freiburg.de/duva2dcat/,2023-11-04
p0Iq,sGVQD,https://gelsenkirchen.opendata.ruhr,https://gelsenkirchen.opendata.ruhr/api/3/action/organization_list,2024-04-15
pn6R,sru6J,https://www.geoportal-bw.de/,https://www.geoportal-bw.de/,2023-11-10
pRaT,s0oPc,https://halle.de/verwaltung-stadtrat/stadtverwaltung/online-angebote/open-data-portal,https://halle.de/verwaltung-stadtrat/stadtverwaltung/online-angebote/open-data-portal,2023-11-04
pDjX,sKcEY,https://suche.transparenz.hamburg.de,https://suche.transparenz.hamburg.de/api/3/action/organization_list,2023-02-05
pVv2,sq2ec,https://opendata.heilbronn.de,https://opendata.heilbronn.de/api/3/action/group_list,2023-12-03
p9RH,srRUq,https://opendata.herne.de/katalogopendata/srv/ger/q,https://opendata.herne.de/katalogopendata/srv/ger/q,2023-11-05
pC1X,sVCiu,https://opendata.jena.de,https://opendata.jena.de/api/3/action/organization_list,2023-12-03
p9ok,sQ05W,https://transparenz.karlsruhe.de,https://transparenz.karlsruhe.de/api/3/action/organization_list,2023-12-03
psxF,sG5Si,https://offenedaten-konstanz.de,https://offenedaten-konstanz.de/api/3/action/group_list,2023-12-03
ptXx,spIhj,https://offenedaten-koeln.de,https://offenedaten-koeln.de/api/3/action/group_list,2023-12-03
po7t,sWZuy,https://opendata.leipzig.de,https://opendata.leipzig.de/api/3/action/organization_list,2023-12-16
piT7,s4n8O,https://daten.digitale-mrn.de,https://daten.digitale-mrn.de/api/3/action/organization_list,2023-12-03
pywU,sdYAN,https://stadt-mittenwalde.opendata.arcgis.com,https://stadt-mittenwalde.opendata.arcgis.com/,2023-12-15
pFz8,s39T4,https://www.mobidata-bw.de,https://www.mobidata-bw.de/api/3/action/organization_list,2023-08-10
pESZ,sqheE,https://geo.muelheim-ruhr.de,https://geo.muelheim-ruhr.de/api/3/action/organization_list,2023-11-10
pBTP,s4LZR,https://opendata.muenchen.de,https://opendata.muenchen.de/api/3/action/organization_list,2023-12-15
pn50,s907x,https://opendata.stadt-muenster.de,https://opendata.stadt-muenster.de/api/3/action/group_list,2023-12-03
pzu0,sPkGA,https://www.offenesdatenportal.de,https://www.offenesdatenportal.de/api/3/action/organization_list,2023-02-05
pI25,sISCu,https://open.nrw,https://open.nrw/api/3/action/organization_list,2023-02-05
prcj,sLCoy,https://opendata.oldenburg.de,https://opendata.oldenburg.de/api/3/action/group_list,2024-01-02
pO6v,sE4dC,https://www.opendata-oepnv.de,https://www.opendata-oepnv.de/api/3/action/organization_list,2023-07-15
pyG6,sGKvf,https://opendata.potsdam.de,https://opendata.potsdam.de/api/explore/v2.1/catalog/facets,2023-11-21
pCM3,sZT8Q,https://geoserver4.kreis-re.de/geonetwork/,https://geoserver4.kreis-re.de/geonetwork/,2023-11-10
pNSt,sLkZ4,https://opendata.ruhr,https://opendata.ruhr/api/3/action/organization_list,2023-08-11
pTjz,sUDxP,https://offenedaten.kdvz.nrw,https://offenedaten.kdvz.nrw/api/3/action/group_list,2023-08-25
pwMo,shltM,https://opendata.rhein-kreis-neuss.de,https://opendata.rhein-kreis-neuss.de/api/explore/v2.1/catalog/facets,2023-12-15
p5ce,sGBST,https://daten.rlp.de,https://daten.rlp.de/api/3/action/organization_list,2023-02-06
pjkE,sEQVZ,https://www.opendata-hro.de,https://www.opendata-hro.de/api/3/action/organization_list,2023-12-03
pYEb,sJ8qB,https://register.opendata.sachsen.de,https://register.opendata.sachsen.de/store/,2023-12-15
psrb,sDZ01,https://opendata.schleswig-holstein.de,https://opendata.schleswig-holstein.de/api/3/action/organization_list,2023-02-05
pqfn,sqvGy,https://www.kreis-soest.de/gis/start/opendata/opendata.php,https://www.kreis-soest.de/gis/start/opendata/opendata.php,2023-11-10
pshG,s8hHk,https://www.offenedaten-wuppertal.de,https://www.offenedaten-wuppertal.de/api/3/action/group_list,2023-12-03
pcDl,s1j6Y,https://mannheim.opendatasoft.com,https://mannheim.opendatasoft.com/api/explore/v2.1/catalog/facets,2023-11-10
pvEd,skRUG,https://datenportal.ulm.de/,https://datenportal.ulm.de/,2023-11-10
pmF2,sXhfu,https://gis-kreis-steinfurt.opendata.arcgis.com,https://gis-kreis-steinfurt.opendata.arcgis.com/,2023-11-10
pxu0,s0FBo,https://opendata.erlangen.de,https://opendata.erlangen.de,2024-06-22
pOWH,sDPuJ,https://opendata.kreis-borken.de,https://opendata.kreis-borken.de,2024-06-22
pU6g,sIEbm,https://www.openagrar.de/content/below/linked_data.xml,https://www.openagrar.de/content/below/linked_data.xml,2024-07-15
p35L,srE9q,https://gdi.berlin.de/geonetwork/srv/ger/catalog.search#/home,https://gdi.berlin.de/geonetwork/srv/ger/catalog.search#/home,2024-07-22
p41x,sBjr5,https://offenedaten.guetersloh.de,https://offenedaten.guetersloh.de/api/3/action/group_list,2024-07-24
p8r4,smZ1A,https://www.govdata.de/sparql,https://www.govdata.de/sparql,2024-07-31
pDoB,s8uGo,https://open.bydata.de/api/sparql,https://open.bydata.de/api/sparql,2024-07-31
pVGN,sYyj9,https://data.europa.eu/sparql,https://data.europa.eu/sparql,2024-07-31
pvyO,s3t18,http://datos.gob.es/virtuoso/sparql,http://datos.gob.es/virtuoso/sparql,2024-07-31
